date,total
2020/1/21,282
2020/1/22,314
2020/1/23,581
2020/1/24,846
2020/1/25,1320
2020/1/26,2014
2020/1/27,2798
2020/1/28,4593
2020/1/29,6065
2020/1/30,7818
2020/1/31,9826
2020/2/1,11953
2020/2/2,14557
2020/2/3,17391
2020/2/4,20630
2020/2/5,24554
2020/2/6,28276
2020/2/7,31481
2020/2/8,34886
2020/2/9,37558
2020/2/10,40554
2020/2/11,43103
2020/2/12,45171
2020/2/13,46997
2020/2/14,49053
2020/2/15,50580
2020/2/16,51857
2020/2/17,71429
2020/2/18,73332
2020/2/19,75204
2020/2/20,75748
2020/2/21,76769
2020/2/22,77794
2020/2/22,77794
2020/2/23,78811
2020/2/24,79331
2020/2/25,80239
2020/02/26,81109
2020/02/27,82294
2020/02/28,83652
2020/02/29,85403
2020/03/01,87137
2020/03/02,88948
2020/03/03,90870
2020/03/04,93090
