date,total
2003/3/17,167
2003/3/18,219
2003/3/19,264
2003/3/20,306
2003/3/21,350
2003/3/22,386
2003/3/24,456
2003/3/25,487
2003/3/26,1323
2003/3/27,1408
2003/3/28,1485
2003/3/29,1550
2003/3/31,1622
2003/4/1,1804
2003/4/2,2223
2003/4/3,2270
2003/4/4,2353
2003/4/5,2416
2003/4/7,2601
2003/4/8,2671
2003/4/9,2722
2003/4/10,2781
2003/4/11,2890
2003/4/12,2960
2003/4/14,3169
2003/4/15,3235
2003/4/16,3293
2003/4/17,3389
2003/4/18,3547
2003/4/19,3547
2003/4/21,3861
2003/4/22,3947
2003/4/23,4288
2003/4/24,4439
2003/4/25,4649
2003/4/26,4836
2003/4/28,5050
2003/4/29,5462
2003/4/30,5663
2003/5/1,5865
2003/5/2,6054
2003/5/3,6234
2003/5/5,6583
2003/5/6,6727
2003/5/7,6903
2003/5/8,7053
2003/5/9,7183
2003/5/10,7296
2003/5/12,7447
2003/5/13,7548
2003/5/14,7628
2003/5/15,7699
2003/5/16,7739
2003/5/17,7761
2003/5/19,7864
2003/5/20,7919
2003/5/21,7956
2003/5/22,8046
2003/5/23,8117
2003/5/26,8202
2003/5/27,8221
2003/5/28,8240
2003/5/29,8295
2003/5/30,8317
2003/5/31,8360
2003/6/2,8384
2003/6/3,8398
2003/6/4,8402
2003/6/5,8403
2003/6/6,8404
2003/6/9,8421
2003/6/10,8430
2003/6/11,8435
2003/6/12,8445
2003/6/13,8454
2003/6/16,8460
2003/6/17,8464
2003/6/18,8465
2003/6/19,8462
2003/6/20,8461
2003/6/23,8459
2003/6/24,8458
2003/6/25,8460
2003/6/26,8456
2003/6/27,8450
2003/6/30,8447
2003/7/1,8445
2003/7/2,8442
2003/7/3,8439
2003/7/4,8439
2003/7/7,8439
2003/7/8,8436
2003/7/9,8436
2003/7/10,8437
2003/7/11,8437
